text,screen_name,created,favoriteCount,retweetCount,lang,location
Mike Pence claiming that Trump supports our troops and veterans when he insults them and probably doesn't pay taxes is laughable. #VPDebate,HillaryClinton,2016-10-05,11677,4393,en,"New York, NY"
RT to let @TimKaine know you've got his back tonight. #VPDebate https://t.co/XzjUE0cfnp,HillaryClinton,2016-10-05,10239,8615,en,"New York, NY"
"Trump...tarnish[es] almost everyone around him because to work with him, they have to defend the indefensible. https://t.co/rwHb5ri1UU",HillaryClinton,2016-10-05,5338,2081,en,"New York, NY"
"The Trump Foundation has spent ""virtually every cent on charitable causes."" <U+0097>@mike_pence https://t.co/0upgTLQbA0<U+0085> https://t.co/2muTJcHzE9",HillaryClinton,2016-10-05,6512,3541,en,"New York, NY"
10 times Pence shrugged off or straight-up lied about what Trump has said and done at the #VPDebate: https://t.co/IV9uWHLT5x,HillaryClinton,2016-10-05,4066,1809,en,"New York, NY"
"The theme of the night: ""I can't imagine how Governor Pence can defend...Donald Trump."" <U+0097>@timkaine #VPDebate https://t.co/lbR6kkXcSy",HillaryClinton,2016-10-05,4192,1671,en,"New York, NY"
"I can't imagine how Governor Pence can defend the insult-driven, selfish, me-first style of Donald Trump. <U+0097>@TimKaine #VPDebate",HillaryClinton,2016-10-05,4767,1597,en,"New York, NY"
Implicit bias is real. It hurts Americans. Anyone who'd outright deny its existence is unfit for the White House. #VPDebate,HillaryClinton,2016-10-05,15325,7085,en,"New York, NY"
"If you can't spot the difference between Pence and Trump on their disastrous economic plans, it's because there isn<U+0085> https://t.co/TMFsEb6hp3",HillaryClinton,2016-10-05,3990,1958,en,"New York, NY"
We trust American women. <U+0097>@TimKaine on a woman's right to abortion https://t.co/8HBMXqa225,HillaryClinton,2016-10-05,3826,1315,en,"New York, NY"
"Yes, Trump and Pence are running an insult-driven campaign.Donald's literally doing it right now. #VPDebatehttps://t.co/VZeBQ85nyH",HillaryClinton,2016-10-05,15251,9272,en,"New York, NY"
Pence seemed intent on laying out the case for a Presidential candidacy<U+0097>his own. https://t.co/l2XSvbvTlT,HillaryClinton,2016-10-05,3814,1455,en,"New York, NY"
"It's unclear exactly whom Mike Pence was defending last night, but it sure wasn't Donald Trump. The @NYTimes: https://t.co/zjIh98ur04",HillaryClinton,2016-10-05,4000,1578,en,"New York, NY"
Mr. Pence simply ignored the Donald Trump we have seen on the trail for more than a year. <U+0097>@NYTimes https://t.co/zjIh98ur04,HillaryClinton,2016-10-05,3426,1366,en,"New York, NY"
"When pressed about Trump insulting and demonizing Latinos and immigrants, Mike Pence had a...telling response. https://t.co/QREumskeC2",HillaryClinton,2016-10-05,3100,1298,en,"New York, NY"
"Even Mike Pence couldn<U+0092>t defend the terrible things Trump<U+0092>s said and done<U+0097>so instead, he lied about them. https://t.co/XrNPaOVdm5",HillaryClinton,2016-10-05,5726,2540,en,"New York, NY"
Can [Pence] look back on the debate as a success after he repeatedly lied in order to run interference for Trump? https://t.co/rwHb5ri1UU,HillaryClinton,2016-10-05,3790,1515,en,"New York, NY"
"If you're on @TimKaine's team tonight, chip in before the #VPDebate to let him know: https://t.co/7IwGS5Olfw https://t.co/LygySSk4i8",HillaryClinton,2016-10-05,2584,601,en,"New York, NY"
