state_name,county_name,total_2012,dem_2012,pct_dem_2012,gop_2012,pct_gop_2012,oth_2012,pct_oth_2012,total_2016,dem_2016,pct_dem_2016,gop_2016,pct_gop_2016,oth_2016,pct_oth_2016,trump_county
texas,Collin County,301101,100754,33.46,195933,65.07,4414,1.47,356545,139837,39.22,200395,56.20,16313,4.58,Trump Won
texas,Travis County,384890,231540,60.16,139503,36.24,13847,3.60,462511,306475,66.26,126750,27.40,29286,6.33,Clinton Won
georgia,Gwinnett County,295560,131879,44.62,159563,53.99,4118,1.39,323931,165063,50.96,146463,45.21,12405,3.83,Clinton Won
georgia,Cobb County,308989,132526,42.89,171464,55.49,4999,1.62,326424,159416,48.84,152602,46.75,14406,4.41,Clinton Won
virginia,Loudoun County,158648,81900,51.62,74794,47.14,1954,1.23,180265,99909,55.42,69633,38.63,10723,5.95,Clinton Won
california,Orange County,1021315,457077,44.75,541592,53.03,22646,2.22,830206,413982,49.86,371268,44.72,44956,5.42,Clinton Won
illinois,Lake County,284032,151552,53.36,128609,45.28,3871,1.36,293574,168186,57.29,108608,37.00,16780,5.72,Clinton Won
idaho,Bannock County,35260,13214,37.48,21010,59.59,1036,2.94,33405,10342,30.96,17180,51.43,5883,17.61,Trump Won
utah,Daggett County,509,91,17.88,399,78.39,19,3.73,465,76,16.34,327,70.32,62,13.33,Trump Won
massachusetts,Norfolk County,350195,200891,57.37,144654,41.31,4650,1.33,357781,219129,61.25,119171,33.31,19481,5.44,Clinton Won
texas,Brazos County,55845,17440,31.23,37152,66.53,1253,2.24,66036,23041,34.89,38662,58.55,4333,6.56,Trump Won
illinois,Champaign County,77620,40378,52.02,35086,45.20,2156,2.78,89196,49694,55.71,33235,37.26,6267,7.03,Clinton Won
texas,Fort Bend County,219250,101043,46.09,116028,52.92,2179,0.99,260367,134475,51.65,117212,45.02,8680,3.33,Clinton Won
california,Imperial County,27453,17464,63.61,9545,34.77,444,1.62,20858,14331,68.71,5607,26.88,920,4.41,Clinton Won
colorado,Douglas County,150160,54093,36.02,93930,62.55,2137,1.42,182918,67045,36.65,100178,54.77,15695,8.58,Trump Won
maryland,Howard County,141167,84017,59.52,54094,38.32,3056,2.16,146401,93808,64.08,44792,30.60,7801,5.33,Clinton Won
wisconsin,Ozaukee County,55565,19075,34.33,35991,64.77,499,0.90,53368,20167,37.79,30458,57.07,2743,5.14,Trump Won
colorado,Broomfield County,32191,16653,51.73,14765,45.87,773,2.40,37342,19530,52.30,14272,38.22,3540,9.48,Clinton Won
tennessee,Williamson County,93606,24328,25.99,68090,72.74,1188,1.27,104700,30992,29.60,68160,65.10,5548,5.30,Trump Won
texas,Williamson County,162936,61812,37.94,96910,59.48,4214,2.59,200524,84252,42.02,104029,51.88,12243,6.11,Trump Won
california,San Diego County,928256,478386,51.54,431046,46.44,18824,2.03,768383,429338,55.88,298521,38.85,40524,5.27,Clinton Won
illinois,McLean County,72756,31590,43.42,39638,54.48,1528,2.10,78995,35918,45.47,37081,46.94,5996,7.59,Trump Won
texas,Harris County,1185478,585451,49.39,584866,49.34,15161,1.28,1302887,706471,54.22,544960,41.83,51456,3.95,Clinton Won
idaho,Blaine County,10194,5992,58.78,3939,38.64,263,2.58,10723,6416,59.83,3340,31.15,967,9.02,Clinton Won
georgia,Fulton County,386845,248479,64.23,133837,34.60,4529,1.17,407173,281875,69.23,110372,27.11,14926,3.67,Clinton Won
massachusetts,Middlesex County,746856,467173,62.55,266307,35.66,13376,1.79,767337,508919,66.32,216163,28.17,42255,5.51,Clinton Won
california,San Mateo County,211814,151036,71.31,56244,26.55,4534,2.14,213715,163084,76.31,40809,19.10,9822,4.60,Clinton Won
