text,favoriteCount,created,statusSource,screenName,retweetCount,location
"9 times Donald Trump accused Hillary of doing the terrible things he, himself, actually did: https://t.co/DXlybx7oA5",7067,17-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,4376,"New York, NY"
It's great to be back on the campaign trail. https://t.co/vm1KX2uOXt,13221,17-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,2526,"New York, NY"
"This year, Janelle beat breast cancer with the support of her family, friends, and a presidential candidate. https://t.co/vmavvobLcs",6987,17-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,2263,"New York, NY"
Trump went to Flint to draw attention to the city's lead poisoning crisis—but he just made a spectacle of himself. https://t.co/Dw4KoVgrQ3,5472,17-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,2312,"New York, NY"
"""We’re siding with students and with every American seeking an affordable college degree."" —@TimKaine https://t.co/qa9qO4AFxW",3732,17-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1362,"New York, NY"
Any of these examples proves that Donald Trump is unfit to be president. https://t.co/3mQgqZ7b8V,4046,17-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,2137,"New York, NY"
Take it from @FLOTUS: This election is too important to sit out. Register to vote: https://t.co/tTgeqy51PU https://t.co/NblU3Tth7T,8863,17-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,4076,"New York, NY"
"So how exactly did Donald Trump build his own bank account?On the backs of American taxpayers: https://t.co/4uBuIljQML",4657,17-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,2831,"New York, NY"
It’s time for Donald Trump to be held to the same standard of disclosure as any other major party nominee. https://t.co/UP93LCzURv,8937,17-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,4592,"New York, NY"
Let's be clear: Nothing—including an audit—is preventing Trump from releasing his tax returns. https://t.co/mpGiRIaPgD,10369,17-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,5836,"New York, NY"
"""I want you to know that I see you, and I’m with you."" —Hillary to the Latino community at @CHCI https://t.co/t2F93Ml785",4184,17-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1567,"New York, NY"
"Next week, Hillary will walk on stage for the first presidential debate. Chip in now for the chance to be there: https://t.co/mHGncsXG6y",4091,18-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1189,"New York, NY"
Tune in now to watch Hillary speak to the @OfficialCBC: https://t.co/NJuB7JkyDL,2199,18-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,658,"New York, NY"
“We have to face the world as it is but commit ourselves to turning it into what it should be.” —Hillary https://t.co/nEB4qSm2YX,5632,18-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,2222,"New York, NY"
